Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 05/01/2023
TIME       : 09:11:22
FILENAME   : C:\Users\getac\AppData\Roaming\DiverOffice\Rhone_Arve_04012022\CSV\dk188_230105091121_DK188.CSV
CREATED BY : Diver-Office 9.1.0.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =..00-DK188  219.
  Instrument number       =-732522   UTC-1     
                          =0
  Location                =dk188
  Sample period           =S01
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =2750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =..00-DK188  219.
  Instrument number       =-732522   UTC-1     
  Location                =dk188
  Sample period           =00 00:00:01 0
  Sample method           =T   
  Start date / time       =00:30:11 04/01/23
  End date / time         =59:29:07 05/01/23
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =2750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time;Pression[cm];Température[°C]
2023/01/04 11:30:00;1007.750;17.323
2023/01/04 11:30:01;1007.933;17.313
2023/01/04 11:30:02;1007.842;17.313
2023/01/04 11:30:03;1007.933;17.313
2023/01/04 11:30:04;1007.933;17.313
2023/01/04 11:30:05;1007.842;17.313
2023/01/04 11:30:06;1007.842;17.313
2023/01/04 11:30:07;1007.933;17.290
2023/01/04 11:30:08;1008.208;17.307
2023/01/04 11:30:09;1007.933;17.300
2023/01/04 11:30:10;1008.025;17.290
2023/01/04 11:30:11;1007.933;17.290
2023/01/04 11:30:12;1007.750;17.290
2023/01/04 11:30:13;1007.933;17.267
2023/01/04 11:30:14;1007.933;17.283
2023/01/04 11:30:15;1008.025;17.277
2023/01/04 11:30:16;1007.933;17.260
2023/01/04 11:30:17;1007.933;17.267
2023/01/04 11:30:18;1007.750;17.260
2023/01/04 11:30:19;1008.025;17.253
2023/01/04 11:30:20;1008.025;17.253
2023/01/04 11:30:21;1007.567;17.230
2023/01/04 11:30:22;1007.750;17.237
2023/01/04 11:30:23;1007.567;17.253
2023/01/04 11:30:24;1007.750;17.230
2023/01/04 11:30:25;1007.750;17.237
2023/01/04 11:30:26;1007.933;17.230
2023/01/04 11:30:27;1007.933;17.230
2023/01/04 11:30:28;1007.842;17.213
2023/01/04 11:30:29;1007.933;17.220
2023/01/04 11:30:30;1008.208;17.197
2023/01/04 11:30:31;1008.025;17.197
2023/01/04 11:30:32;1008.208;17.203
2023/01/04 11:30:33;1008.025;17.197
2023/01/04 11:30:34;1008.025;17.190
2023/01/04 11:30:35;1007.933;17.190
2023/01/04 11:30:36;1007.750;17.190
2023/01/04 11:30:37;1008.208;17.173
2023/01/04 11:30:38;1007.933;17.167
2023/01/04 11:30:39;1007.933;17.173
2023/01/04 11:30:40;1008.025;17.173
2023/01/04 11:30:41;1008.025;17.167
2023/01/04 11:30:42;1007.933;17.157
2023/01/04 11:30:43;1007.933;17.157
2023/01/04 11:30:44;1008.208;17.157
2023/01/04 11:30:45;1007.933;17.143
2023/01/04 11:30:46;1007.750;17.150
2023/01/04 11:30:47;1007.750;17.143
2023/01/04 11:30:48;1008.025;17.133
2023/01/04 11:30:49;1007.933;17.127
2023/01/04 11:30:50;1007.750;17.133
2023/01/04 11:30:51;1007.842;17.127
2023/01/04 11:30:52;1007.842;17.120
2023/01/04 11:30:53;1007.658;17.120
2023/01/04 11:30:54;1007.933;17.103
2023/01/04 11:30:55;1007.933;17.120
2023/01/04 11:30:56;1008.025;17.110
2023/01/04 11:30:57;1008.208;17.103
2023/01/04 11:30:58;1008.025;17.103
2023/01/04 11:30:59;1008.208;17.087
2023/01/04 11:31:00;1008.025;17.097
2023/01/04 11:31:01;1008.208;17.087
2023/01/04 11:31:02;1008.025;17.097
2023/01/04 11:31:03;1007.567;17.103
2023/01/04 11:31:04;1008.025;17.080
2023/01/04 11:31:05;1008.025;17.097
2023/01/04 11:31:06;1007.750;17.080
2023/01/04 11:31:07;1008.025;17.080
2023/01/04 11:31:08;1007.750;17.063
2023/01/04 11:31:09;1007.750;17.073
