Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 05/01/2023
TIME       : 08:50:20
FILENAME   : C:\Users\getac\AppData\Roaming\DiverOffice\Rhone_Arve_04012022\CSV\dk182_230105085019_DK182.CSV
CREATED BY : Diver-Office 9.1.0.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =..00-DK182  219.
  Instrument number       =638942    UTC-1     
                          =0
  Location                =dk182
  Sample period           =S01
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =2750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =..00-DK182  219.
  Instrument number       =638942    UTC-1     
  Location                =dk182
  Sample period           =00 00:00:01 0
  Sample method           =T   
  Start date / time       =00:30:11 04/01/23
  End date / time         =59:29:07 05/01/23
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =2750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time;Pression[cm];Température[°C]
2023/01/04 11:31:54;1006.742;15.653
2023/01/04 11:31:55;1007.017;15.653
2023/01/04 11:31:56;1007.017;15.637
2023/01/04 11:31:57;1006.925;15.643
2023/01/04 11:31:58;1007.017;15.643
2023/01/04 11:31:59;1007.200;15.637
2023/01/04 11:32:00;1007.200;15.630
2023/01/04 11:32:01;1007.017;15.613
2023/01/04 11:32:02;1007.017;15.637
2023/01/04 11:32:03;1007.200;15.620
2023/01/04 11:32:04;1006.925;15.620
2023/01/04 11:32:05;1006.742;15.620
2023/01/04 11:32:06;1006.925;15.620
2023/01/04 11:32:07;1007.017;15.620
2023/01/04 11:32:08;1006.742;15.607
2023/01/04 11:32:09;1006.925;15.607
2023/01/04 11:32:10;1006.925;15.607
2023/01/04 11:32:11;1006.925;15.583
2023/01/04 11:32:12;1006.742;15.597
2023/01/04 11:32:13;1006.925;15.597
2023/01/04 11:32:14;1006.925;15.590
2023/01/04 11:32:15;1007.017;15.590
2023/01/04 11:32:16;1006.742;15.583
2023/01/04 11:32:17;1006.925;15.590
2023/01/04 11:32:18;1006.925;15.583
2023/01/04 11:32:19;1007.017;15.573
2023/01/04 11:32:20;1007.200;15.560
2023/01/04 11:32:21;1007.017;15.567
2023/01/04 11:32:22;1006.925;15.560
2023/01/04 11:32:23;1007.017;15.560
2023/01/04 11:32:24;1007.017;15.560
2023/01/04 11:32:25;1006.925;15.560
2023/01/04 11:32:26;1007.017;15.560
2023/01/04 11:32:27;1006.925;15.543
2023/01/04 11:32:28;1006.925;15.550
2023/01/04 11:32:29;1007.017;15.550
2023/01/04 11:32:30;1007.017;15.543
2023/01/04 11:32:31;1006.742;15.550
2023/01/04 11:32:32;1006.925;15.537
2023/01/04 11:32:33;1006.925;15.543
2023/01/04 11:32:34;1007.017;15.520
2023/01/04 11:32:35;1007.017;15.543
2023/01/04 11:32:36;1007.017;15.520
2023/01/04 11:32:37;1007.017;15.520
2023/01/04 11:32:38;1007.200;15.537
2023/01/04 11:32:39;1007.475;15.520
2023/01/04 11:32:40;1007.200;15.513
2023/01/04 11:32:41;1007.017;15.503
2023/01/04 11:32:42;1007.017;15.520
2023/01/04 11:32:43;1006.925;15.513
2023/01/04 11:32:44;1007.200;15.497
2023/01/04 11:32:45;1006.925;15.497
2023/01/04 11:32:46;1007.017;15.497
2023/01/04 11:32:47;1006.925;15.497
2023/01/04 11:32:48;1006.925;15.490
2023/01/04 11:32:49;1007.017;15.490
2023/01/04 11:32:50;1007.017;15.490
2023/01/04 11:32:51;1007.200;15.480
2023/01/04 11:32:52;1007.292;15.473
2023/01/04 11:32:53;1007.200;15.473
2023/01/04 11:32:54;1007.200;15.457
2023/01/04 11:32:55;1006.925;15.463
2023/01/04 11:32:56;1007.017;15.463
2023/01/04 11:32:57;1007.200;15.450
2023/01/04 11:32:58;1007.017;15.457
2023/01/04 11:32:59;1007.200;15.463
2023/01/04 11:33:00;1007.475;15.457
2023/01/04 11:33:01;1007.292;15.463
2023/01/04 11:33:02;1007.200;15.457
2023/01/04 11:33:03;1007.292;15.457
2023/01/04 11:33:04;1007.200;15.450
2023/01/04 11:33:05;1007.292;15.450
2023/01/04 11:33:06;1007.292;15.433
2023/01/04 11:33:07;1007.292;15.427
2023/01/04 11:33:08;1007.475;15.433
2023/01/04 11:33:09;1007.475;15.433
2023/01/04 11:33:10;1007.475;15.427
2023/01/04 11:33:11;1007.475;15.427
2023/01/04 11:33:12;1007.475;15.427
2023/01/04 11:33:13;1007.292;15.427
2023/01/04 11:33:14;1007.475;15.417
2023/01/04 11:33:15;1007.475;15.417
2023/01/04 11:33:16;1007.475;15.393
2023/01/04 11:33:17;1007.475;15.410
2023/01/04 11:33:18;1007.475;15.403
2023/01/04 11:33:19;1007.200;15.403
2023/01/04 11:33:20;1007.200;15.393
2023/01/04 11:33:21;1007.292;15.393
