"Titre de tracé : 21458365"
"#","Date Heure, GMT-01:00","Plage basse, μS/cm (LGR S/N: 21458365, SEN S/N: 21458365)","Plage complète, μS/cm (LGR S/N: 21458365, SEN S/N: 21458365)","Temp., °C (LGR S/N: 21458365, SEN S/N: 21458365)","Coupleur détaché (LGR S/N: 21458365)","Fin de fichier (LGR S/N: 21458365)"
97,01/04/23 11:31:36 AM,3.4,2.8,14.89,,
98,01/04/23 11:31:37 AM,1.4,2.8,14.89,,
99,01/04/23 11:31:38 AM,1.4,2.8,14.89,,
100,01/04/23 11:31:39 AM,3.4,2.8,14.88,,
101,01/04/23 11:31:40 AM,1.5,2.8,14.89,,
102,01/04/23 11:31:41 AM,1.4,2.8,14.89,,
103,01/04/23 11:31:42 AM,1.5,2.8,14.89,,
104,01/04/23 11:31:43 AM,3.4,2.8,14.89,,
105,01/04/23 11:31:44 AM,1.5,2.8,14.88,,
106,01/04/23 11:31:45 AM,3.1,-0.1,14.88,,
107,01/04/23 11:31:46 AM,3.1,-0.1,14.89,,
108,01/04/23 11:31:47 AM,1.5,2.8,14.89,,
109,01/04/23 11:31:48 AM,1.5,2.8,14.89,,
110,01/04/23 11:31:49 AM,1.5,2.8,14.89,,
111,01/04/23 11:31:50 AM,1.2,2.8,14.88,,
112,01/04/23 11:31:51 AM,3.4,2.8,14.89,,
113,01/04/23 11:31:52 AM,1.4,2.8,14.88,,
114,01/04/23 11:31:53 AM,1.4,2.8,14.88,,
115,01/04/23 11:31:54 AM,3.4,2.8,14.88,,
116,01/04/23 11:31:55 AM,1.5,2.8,14.88,,
117,01/04/23 11:31:56 AM,0.9,2.8,14.88,,
118,01/04/23 11:31:57 AM,1.4,2.8,14.85,,
119,01/04/23 11:31:58 AM,1.5,-1.3,14.84,,
120,01/04/23 11:31:59 AM,3.4,-1.3,14.84,,
121,01/04/23 11:32:00 AM,1.5,2.8,14.85,,
122,01/04/23 11:32:01 AM,1.5,2.8,14.85,,
123,01/04/23 11:32:02 AM,1.4,2.8,14.85,,
124,01/04/23 11:32:03 AM,3.1,2.8,14.85,,
125,01/04/23 11:32:04 AM,3.1,-0.1,14.85,,
126,01/04/23 11:32:05 AM,3.4,2.8,14.85,,
127,01/04/23 11:32:06 AM,3.4,2.8,14.85,,
128,01/04/23 11:32:07 AM,3.4,2.8,14.87,,
129,01/04/23 11:32:08 AM,1.4,2.8,14.85,,
130,01/04/23 11:32:09 AM,1.5,2.8,14.85,,
131,01/04/23 11:32:10 AM,3.1,-1.3,14.85,,
132,01/04/23 11:32:11 AM,1.5,2.8,14.85,,
133,01/04/23 11:32:12 AM,3.1,2.8,14.85,,
134,01/04/23 11:32:13 AM,3.1,2.8,14.84,,
135,01/04/23 11:32:14 AM,1.4,2.8,14.84,,
136,01/04/23 11:32:15 AM,1.5,2.8,14.85,,
137,01/04/23 11:32:16 AM,3.4,2.8,14.85,,
138,01/04/23 11:32:17 AM,1.5,2.8,14.84,,
139,01/04/23 11:32:18 AM,3.1,-0.1,14.85,,
140,01/04/23 11:32:19 AM,1.5,2.8,14.84,,
141,01/04/23 11:32:20 AM,3.1,-1.3,14.84,,
142,01/04/23 11:32:21 AM,3.4,2.8,14.84,,
143,01/04/23 11:32:22 AM,1.4,2.8,14.84,,
144,01/04/23 11:32:23 AM,1.4,2.8,14.83,,
145,01/04/23 11:32:24 AM,4.4,2.8,14.84,,
