"Titre de tracé : 21131413"
"#","Date Heure, GMT-01:00","Plage basse, μS/cm (LGR S/N: 21131413, SEN S/N: 21131413)","Plage à large, μS/cm (LGR S/N: 21131413, SEN S/N: 21131413)","Temp., °C (LGR S/N: 21131413, SEN S/N: 21131413)","Coupleur détaché (LGR S/N: 21131413)","Fin de fichier (LGR S/N: 21131413)"
1,01/04/23 11:30:00 AM,0.0,0.0,16.31,Enregistré,
2,01/04/23 11:30:01 AM,0.0,0.0,16.32,,
3,01/04/23 11:30:02 AM,0.0,0.0,16.32,,
4,01/04/23 11:30:03 AM,0.0,0.0,16.34,,
5,01/04/23 11:30:04 AM,0.0,0.0,16.32,,
6,01/04/23 11:30:05 AM,0.0,0.0,16.32,,
7,01/04/23 11:30:06 AM,0.0,0.0,16.32,,
8,01/04/23 11:30:07 AM,0.0,0.0,16.32,,
9,01/04/23 11:30:08 AM,0.0,0.0,16.31,,
10,01/04/23 11:30:09 AM,0.0,0.0,16.31,,
11,01/04/23 11:30:10 AM,0.0,0.0,16.31,,
12,01/04/23 11:30:11 AM,0.0,0.0,16.31,,
13,01/04/23 11:30:12 AM,0.0,0.0,16.30,,
14,01/04/23 11:30:13 AM,0.0,0.0,16.30,,
15,01/04/23 11:30:14 AM,0.0,0.0,16.30,,
16,01/04/23 11:30:15 AM,0.0,0.0,16.30,,
17,01/04/23 11:30:16 AM,0.0,0.0,16.29,,
18,01/04/23 11:30:17 AM,0.0,0.0,16.29,,
19,01/04/23 11:30:18 AM,0.0,0.0,16.29,,
20,01/04/23 11:30:19 AM,0.0,0.0,16.29,,
21,01/04/23 11:30:20 AM,0.0,0.0,16.29,,
22,01/04/23 11:30:21 AM,0.0,0.0,16.30,,
23,01/04/23 11:30:22 AM,0.0,0.0,16.29,,
24,01/04/23 11:30:23 AM,0.0,0.0,16.29,,
25,01/04/23 11:30:24 AM,0.0,0.0,16.27,,
26,01/04/23 11:30:25 AM,0.0,0.0,16.27,,
27,01/04/23 11:30:26 AM,0.0,0.0,16.27,,
28,01/04/23 11:30:27 AM,0.0,0.0,16.27,,
29,01/04/23 11:30:28 AM,0.0,0.0,16.27,,
30,01/04/23 11:30:29 AM,0.0,0.0,16.27,,
31,01/04/23 11:30:30 AM,0.0,0.0,16.27,,
32,01/04/23 11:30:31 AM,0.0,0.0,16.27,,
33,01/04/23 11:30:32 AM,0.0,0.0,16.27,,
34,01/04/23 11:30:33 AM,0.0,0.0,16.26,,
35,01/04/23 11:30:34 AM,0.0,0.0,16.26,,
36,01/04/23 11:30:35 AM,0.0,0.0,16.26,,
37,01/04/23 11:30:36 AM,0.0,0.0,16.26,,
38,01/04/23 11:30:37 AM,0.0,0.0,16.25,,
39,01/04/23 11:30:38 AM,0.0,0.0,16.25,,
40,01/04/23 11:30:39 AM,0.0,0.0,16.25,,
41,01/04/23 11:30:40 AM,0.0,0.0,16.25,,
42,01/04/23 11:30:41 AM,0.0,0.0,16.25,,
43,01/04/23 11:30:42 AM,0.0,0.0,16.25,,
44,01/04/23 11:30:43 AM,0.0,0.0,16.24,,
45,01/04/23 11:30:44 AM,0.0,0.0,16.24,,
46,01/04/23 11:30:45 AM,0.0,0.0,16.24,,
47,01/04/23 11:30:46 AM,0.0,0.0,16.22,,
